template_id,template,dof,cpt_class_representative,is_cpt_representative
67,"(1,1) + (1,1) + (3,2) + (6b,1)",42,"(1,1) + (1,1) + (3,2) + (6b,1)",True
68,"(1,1) + (1,1) + (3b,1) + (3b,1) + (3b,2)",42,"(1,1) + (1,1) + (3,1) + (3,1) + (3,2)",False
69,"(1,1) + (1,1) + (3b,2) + (6,1)",42,"(1,1) + (1,1) + (3,2) + (6b,1)",False
70,"(1,1) + (1,1) + (3b,2) + (6b,1)",42,"(1,1) + (1,1) + (3,2) + (6,1)",False
71,"(1,1) + (1,1) + (6,2)",42,"(1,1) + (1,1) + (6,2)",True
72,"(1,1) + (1,1) + (6b,2)",42,"(1,1) + (1,1) + (6,2)",False
73,"(1,2) + (3,1) + (3,1) + (3,2)",42,"(1,2) + (3,1) + (3,1) + (3,2)",True
74,"(1,2) + (3,1) + (3,1) + (3b,2)",42,"(1,2) + (3,1) + (3,1) + (3b,2)",True
75,"(1,2) + (3,1) + (3,2) + (3b,1)",42,"(1,2) + (3,1) + (3,2) + (3b,1)",True
76,"(1,2) + (3,1) + (3b,1) + (3b,2)",42,"(1,2) + (3,1) + (3,2) + (3b,1)",False
77,"(1,2) + (3,2) + (3b,1) + (3b,1)",42,"(1,2) + (3,1) + (3,1) + (3b,2)",False
78,"(1,2) + (3,2) + (6,1)",42,"(1,2) + (3,2) + (6,1)",True
79,"(1,2) + (3,2) + (6b,1)",42,"(1,2) + (3,2) + (6b,1)",True
80,"(1,2) + (3b,1) + (3b,1) + (3b,2)",42,"(1,2) + (3,1) + (3,1) + (3,2)",False
81,"(1,2) + (3b,2) + (6,1)",42,"(1,2) + (3,2) + (6b,1)",False
82,"(1,2) + (3b,2) + (6b,1)",42,"(1,2) + (3,2) + (6,1)",False
83,"(1,2) + (6,2)",42,"(1,2) + (6,2)",True
84,"(1,2) + (6b,2)",42,"(1,2) + (6,2)",False
85,"(3,2) + (8,1)",42,"(3,2) + (8,1)",True
86,"(3b,2) + (8,1)",42,"(3,2) + (8,1)",False
87,"(1,1) + (1,2) + (3,1) + (3,1) + (3,2)",45,"(1,1) + (1,2) + (3,1) + (3,1) + (3,2)",True
88,"(1,1) + (1,2) + (3,1) + (3,1) + (3b,2)",45,"(1,1) + (1,2) + (3,1) + (3,1) + (3b,2)",True
89,"(1,1) + (1,2) + (3,1) + (3,2) + (3b,1)",45,"(1,1) + (1,2) + (3,1) + (3,2) + (3b,1)",True
90,"(1,1) + (1,2) + (3,1) + (3b,1) + (3b,2)",45,"(1,1) + (1,2) + (3,1) + (3,2) + (3b,1)",False
91,"(1,1) + (1,2) + (3,2) + (3b,1) + (3b,1)",45,"(1,1) + (1,2) + (3,1) + (3,1) + (3b,2)",False
92,"(1,1) + (1,2) + (3,2) + (6,1)",45,"(1,1) + (1,2) + (3,2) + (6,1)",True
93,"(1,1) + (1,2) + (3,2) + (6b,1)",45,"(1,1) + (1,2) + (3,2) + (6b,1)",True
94,"(1,1) + (1,2) + (3b,1) + (3b,1) + (3b,2)",45,"(1,1) + (1,2) + (3,1) + (3,1) + (3,2)",False
95,"(1,1) + (1,2) + (3b,2) + (6,1)",45,"(1,1) + (1,2) + (3,2) + (6b,1)",False
96,"(1,1) + (1,2) + (3b,2) + (6b,1)",45,"(1,1) + (1,2) + (3,2) + (6,1)",False
97,"(1,1) + (1,2) + (6,2)",45,"(1,1) + (1,2) + (6,2)",True
98,"(1,1) + (1,2) + (6b,2)",45,"(1,1) + (1,2) + (6,2)",False
99,"(1,1) + (3,2) + (8,1)",45,"(1,1) + (3,2) + (8,1)",True
100,"(1,1) + (3b,2) + (8,1)",45,"(1,1) + (3,2) + (8,1)",False
101,"(3,1) + (3,1) + (3,1) + (3,2)",45,"(3,1) + (3,1) + (3,1) + (3,2)",True
102,"(3,1) + (3,1) + (3,1) + (3b,2)",45,"(3,1) + (3,1) + (3,1) + (3b,2)",True
103,"(3,1) + (3,1) + (3,2) + (3b,1)",45,"(3,1) + (3,1) + (3,2) + (3b,1)",True
104,"(3,1) + (3,1) + (3b,1) + (3b,2)",45,"(3,1) + (3,1) + (3b,1) + (3b,2)",True
105,"(3,1) + (3,2) + (3b,1) + (3b,1)",45,"(3,1) + (3,1) + (3b,1) + (3b,2)",False
106,"(3,1) + (3,2) + (6,1)",45,"(3,1) + (3,2) + (6,1)",True
107,"(3,1) + (3,2) + (6b,1)",45,"(3,1) + (3,2) + (6b,1)",True
108,"(3,1) + (3b,1) + (3b,1) + (3b,2)",45,"(3,1) + (3,1) + (3,2) + (3b,1)",False
109,"(3,1) + (3b,2) + (6,1)",45,"(3,1) + (3b,2) + (6,1)",True
110,"(3,1) + (3b,2) + (6b,1)",45,"(3,1) + (3b,2) + (6b,1)",True
111,"(3,1) + (6,2)",45,"(3,1) + (6,2)",True
112,"(3,1) + (6b,2)",45,"(3,1) + (6b,2)",True
113,"(3,2) + (3b,1) + (3b,1) + (3b,1)",45,"(3,1) + (3,1) + (3,1) + (3b,2)",False
114,"(3,2) + (3b,1) + (6,1)",45,"(3,1) + (3b,2) + (6b,1)",False
115,"(3,2) + (3b,1) + (6b,1)",45,"(3,1) + (3b,2) + (6,1)",False
116,"(3b,1) + (3b,1) + (3b,1) + (3b,2)",45,"(3,1) + (3,1) + (3,1) + (3,2)",False
117,"(3b,1) + (3b,2) + (6,1)",45,"(3,1) + (3,2) + (6b,1)",False
118,"(3b,1) + (3b,2) + (6b,1)",45,"(3,1) + (3,2) + (6,1)",False
119,"(3b,1) + (6,2)",45,"(3,1) + (6b,2)",False
120,"(3b,1) + (6b,2)",45,"(3,1) + (6,2)",False
121,"(1,1) + (1,1) + (1,2) + (3,1) + (3,1) + (3,2)",48,"(1,1) + (1,1) + (1,2) + (3,1) + (3,1) + (3,2)",True
122,"(1,1) + (1,1) + (1,2) + (3,1) + (3,1) + (3b,2)",48,"(1,1) + (1,1) + (1,2) + (3,1) + (3,1) + (3b,2)",True
