template_id,template,dof,first_failing_filter_or_status
90,"(1,1) + (1,2) + (3,1) + (3b,1) + (3b,2)",45,F4_SU3_cubic
91,"(1,1) + (1,2) + (3,2) + (3b,1) + (3b,1)",45,SURVIVOR_MINIMUM
92,"(1,1) + (1,2) + (3,2) + (6,1)",45,F4_SU3_cubic
93,"(1,1) + (1,2) + (3,2) + (6b,1)",45,F4_SU3_cubic
94,"(1,1) + (1,2) + (3b,1) + (3b,1) + (3b,2)",45,F4_SU3_cubic
95,"(1,1) + (1,2) + (3b,2) + (6,1)",45,F4_SU3_cubic
96,"(1,1) + (1,2) + (3b,2) + (6b,1)",45,F4_SU3_cubic
97,"(1,1) + (1,2) + (6,2)",45,F3_content
98,"(1,1) + (1,2) + (6b,2)",45,F3_content
99,"(1,1) + (3,2) + (8,1)",45,F4_SU3_cubic
100,"(1,1) + (3b,2) + (8,1)",45,F4_SU3_cubic
101,"(3,1) + (3,1) + (3,1) + (3,2)",45,F4_SU3_cubic
102,"(3,1) + (3,1) + (3,1) + (3b,2)",45,F4_SU3_cubic
103,"(3,1) + (3,1) + (3,2) + (3b,1)",45,F4_SU3_cubic
104,"(3,1) + (3,1) + (3b,1) + (3b,2)",45,F4_SU3_cubic
105,"(3,1) + (3,2) + (3b,1) + (3b,1)",45,F4_SU3_cubic
106,"(3,1) + (3,2) + (6,1)",45,F4_SU3_cubic
107,"(3,1) + (3,2) + (6b,1)",45,F4_SU3_cubic
108,"(3,1) + (3b,1) + (3b,1) + (3b,2)",45,F4_SU3_cubic
109,"(3,1) + (3b,2) + (6,1)",45,F4_SU3_cubic
110,"(3,1) + (3b,2) + (6b,1)",45,F4_SU3_cubic
111,"(3,1) + (6,2)",45,F1_SU3_AF
112,"(3,1) + (6b,2)",45,F1_SU3_AF
113,"(3,2) + (3b,1) + (3b,1) + (3b,1)",45,F4_SU3_cubic
114,"(3,2) + (3b,1) + (6,1)",45,F4_SU3_cubic
115,"(3,2) + (3b,1) + (6b,1)",45,F4_SU3_cubic
116,"(3b,1) + (3b,1) + (3b,1) + (3b,2)",45,F4_SU3_cubic
117,"(3b,1) + (3b,2) + (6,1)",45,F4_SU3_cubic
118,"(3b,1) + (3b,2) + (6b,1)",45,F4_SU3_cubic
119,"(3b,1) + (6,2)",45,F1_SU3_AF
120,"(3b,1) + (6b,2)",45,F1_SU3_AF
121,"(1,1) + (1,1) + (1,2) + (3,1) + (3,1) + (3,2)",48,F4_SU3_cubic
122,"(1,1) + (1,1) + (1,2) + (3,1) + (3,1) + (3b,2)",48,F7_CPT_duplicate
